Type,Name,Location,Country,Region,Sub-Region,Description,Forecast 1,Forecast 2,Forecast 3,Forecast 4
Surf Spot,Sandy Hook,"40.432074, -73.983489",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/sandy-hook/5842041f4e65fad6a7708a05",,,
Surf Spot,Monmouth Beach,"40.330569, -73.974514",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/monmouth-beach/5842041f4e65fad6a7708853?camId=62f65ab49c2cbd686f91ff1c ",,,
Surf Spot,Long Branch,"40.309714, -73.977118",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/long-branch/630d04654da1381c5cb8aeb7",,,
Surf Spot,Deal,"40.243389, -73.993401",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/deal/61d74f61620dd7a6afb318bc",,,
Surf Spot,Loch Arbor,"40.232259, -73.996702",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/loch-arbour-and-deal/5842041f4e65fad6a7708a03",,,
Surf Spot,Dog Park,"40.226999, -73.996894",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/dog-park/61d8c39b59bcde1454c75b7a",,,
Surf Spot,Boardwalk,"40.223483, -73.997735",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/boardwalk/61dcad87d8d80f5add72df95",,,
Surf Spot,Asbury Park,"40.217962, -73.999998",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/asbury-park/5842041f4e65fad6a7708a02",,,
Surf Spot,Casino,"40.216819, -74.000254",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/casino/61d8c5f96a05a5870dc4d0ba",,,
Surf Spot,Ocean Grove,"40.211497, -74.002419",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/ocean-grove/625611325cd9822674fe5031",,,
Surf Spot,Bradley Beach,"40.201703, -74.006288",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/bradley-beach/5842041f4e65fad6a77089ff",,,
Surf Spot,Avon,"40.191909, -74.008405",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/avon/5842041f4e65fad6a77089fe",,,
Surf Spot,"16th Ave., Belmar","40.172346, -74.015094",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/16th-ave-belmar/5842041f4e65fad6a7708a01",,,
Surf Spot,Spring Lake,"40.153620, -74.021020",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/spring-lake/5842041f4e65fad6a77089fc",,,
Surf Spot,Sea Girt,"40.132704, -74.027598",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/sea-girt/5842041f4e65fad6a77089fa",,,
Surf Spot,Manasquan Inlet,"40.104454, -74.033953",US,New Jersey,Monmouth County,,"Surfline, https://www.surfline.com/surf-report/manasquan-inlet/5842041f4e65fad6a7708856?camId=58a3754bea714bf7668c0006",,,
Surf Spot,Jenkinson's,"40.093077, -74.035871",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/jenkinson-s/5842041f4e65fad6a7708a18",,,
Surf Spot,Bay Head,"40.078991, -74.040024",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/bay-head/5842041f4e65fad6a7708a17",,,
Surf Spot,Mantoloking,"40.036845, -74.049427",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/mantoloking/5842041f4e65fad6a7708bed",,,
Surf Spot,Lavalette,"39.970490, -74.065297",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/lavallette/5842041f4e65fad6a7708a16",,,
Surf Spot,Ortley Beach,"39.957585, -74.067686",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/ortley-beach/5842041f4e65fad6a7708a15",,,
Surf Spot,Casino Pier,"39.941544, -74.069481",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/casino-pier/5842041f4e65fad6a7708857",,,
Surf Spot,Seaside Park,"39.918085, -74.075096",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/seaside-park/5842041f4e65fad6a7708a12",,,
Surf Spot,Island Beach State Park,"39.828828, -74.088647",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/island-beach-state-park/5842041f4e65fad6a7708a11",,,
Surf Spot,Barnegat Light,"39.755810, -74.101919",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/barnegat-light/640a445fb6d7693e975266df",,,
Surf Spot,Hudson Ave.,"39.697486, -74.137405",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/hudson-ave-/5842041f4e65fad6a7708a10",,,
Surf Spot,Surf City,"39.655206, -74.166988",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/surf-city/5b18410acaa322001aacd67a",,,
Surf Spot,Ship Bottom,"39.642687, -74.178442",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/ship-bottom/5842041f4e65fad6a770885b",,,
Surf Spot,Long Beach Township,"39.585765, -74.218779",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/long-beach-township/5b215f6d59c0e0001b0618a9?camId=5b214ca5ca4ef9000f04d8d5",,,
Surf Spot,Beach Haven,"39.581085, -74.222181",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/beach-haven/6642133e0ea431fbcfe96cdc",,,
Surf Spot,Holyoke,"39.572830, -74.227901",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/holyoke/5842041f4e65fad6a7708a0f",,,
Surf Spot,The Wooden Jetty,"39.530450, -74.263596",US,New Jersey,Ocean County,,"Surfline, https://www.surfline.com/surf-report/the-wooden-jetty/5842041f4e65fad6a7708a0e",,,
Surf Spot,14th Street North,"39.410897, -74.357536",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/14th-street-north/5842041f4e65fad6a7708a0d",,,
Surf Spot,Seaside Road,"39.376155, -74.400859",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/seaside-road/58bdecc682d034001252e3d3",,,
Surf Spot,Brigatine Jetty,"39.372575, -74.404063",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/brigantine-jetty/5842041f4e65fad6a7708a0b",,,
Surf Spot,Crystals,"39.363906, -74.409938",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/crystals/5842041f4e65fad6a7708a06",,,
Surf Spot,States Avenue,"39.360190, -74.415277",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/states-avenue/5842041f4e65fad6a7708a0a",,,
Surf Spot,South Carolina Avenue,"39.356934, -74.421680",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/south-carolina-avenue/5842041f4e65fad6a7708a0c",,,
Surf Spot,St. James,"39.355178, -74.427483",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/st-james/6418e42c93265bdb781900d7",,,
Surf Spot,Chicken Bone Beach,"39.353112, -74.436217",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/chicken-bone-beach/666c747b362196018cbc7e12",,,
Surf Spot,Ventnor Pier,"39.336992, -74.475067",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/ventnor-pier/5842041f4e65fad6a7708a09?camId=6246073ab2102232092fb335",,,
Surf Spot,Margate Pier Northside,"39.327965, -74.494588",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/margate-pier-northside/5842041f4e65fad6a7708a08",,,
Surf Spot,Sumner Avenue,"39.322252, -74.505975",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/sumner-avenue/5842041f4e65fad6a7708b5d",,,
Surf Spot,32nd Street,"39.313238, -74.521980",US,New Jersey,Atlantic County,,"Surfline, https://www.surfline.com/surf-report/32nd-street/5842041f4e65fad6a7708a07",,,
Surf Spot,Morning Side,"39.283326, -74.556586",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/morning-side/667da9ff4c55b85a9a5ab1e7",,,
Surf Spot,North End OC,"39.281112, -74.558193",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/north-end-oc/5842041f4e65fad6a7708858?camId=58349e26e411dc743a5d52c1",,,
Surf Spot,7th Street,"39.275898, -74.566553",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/7th-street/5842041f4e65fad6a7708b5b",,,
Surf Spot,Central OC,"39.274442, -74.570551",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/central-oc/5aff31a7f7fc66001bd15a34",,,
Surf Spot,10th St.,"39.273260, -74.572892",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/10th-st-/5b02fe338bd590001bf55485",,,
Surf Spot,11th St.,"39.272364, -74.575183",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/11th-st-/5b02ff07b383ab001aa8cff3",,,
Surf Spot,South End OC,"39.223367, -74.632562",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/south-end-oc/5b0336df824315001a1c2931",,,
Surf Spot,Sherman Ave.,"39.195114, -74.655900",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/sherman-ave-/5b0347809f631f001a00f0d9",,,
Surf Spot,Sea Isle City,"39.157045, -74.687615",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/sea-isle-city/5b03095ee967b4001b33027f",,,
Surf Spot,57th St.,"39.140336, -74.699693",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/57th-st-/5b030e7c7853b7001a901b2c",,,
Surf Spot,Avalon 10th-14th Street,"39.101992, -74.708963",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/avalon-10-14th-street/584204214e65fad6a7709c84",,,
Surf Spot,26th to 30th Street Pier,"39.090493, -74.719874",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/26th-to-30th-street-pier/5842041f4e65fad6a7708b5e",,,
Surf Spot,Nun's Beach,"39.035692, -74.768712",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/nun-s-beach/5842041f4e65fad6a7708b5f",,,
Surf Spot,2nd to 10th Street,"38.996957, -74.792628",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/2nd-st-to-10th-st-/5842041f4e65fad6a7708b61",,,
Surf Spot,Rambler Road,"38.970162, -74.828437",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/rambler-road/5842041f4e65fad6a7708b60",,,
Surf Spot,Diamond Beach,"38.955832, -74.847523",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/diamond-beach/5b0335c7e967b4001b33028f",,,
Surf Spot,The Rocks,"38.941501, -74.863351",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/the-rocks/5842041f4e65fad6a7708b63",,,
Surf Spot,Poverty Beach,"38.942471, -74.879392",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/poverty-beach/5842041f4e65fad6a7708b65",,,
Surf Spot,Queen Street,"38.930401, -74.912189",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/queen-street/5842041f4e65fad6a7708b64",,,
Surf Spot,Stockton Avenue,"38.929572, -74.917335",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/stockton-avenue/5842041f4e65fad6a7708b62",,,
Surf Spot,Grant Street,"38.928976, -74.925714",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/grant-street-beach/5842041f4e65fad6a7708b67",,,
Surf Spot,Broadway Beach,"38.929006, -74.930679",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/broadway-beach/5842041f4e65fad6a7708b66",,,
Surf Spot,The Cove,"38.928741, -74.934401",US,New Jersey,Cape May County,,"Surfline, https://www.surfline.com/surf-report/the-cove/5842041f4e65fad6a7708b68?camId=633496832eea18dbae274b42",,,